,learning_rate,subsample,max_depth,n_estimators,min_child_weight,R2
14,0.1,0.5,6,400,15,0.882597855
6,0.1,0.5,6,350,15,0.881743782
9,0.2,0.5,4,500,10,0.88155087
13,0.2,0.5,4,500,20,0.881439154
6,0.1,0.5,8,350,20,0.881319499
9,0.15,0.5,4,400,10,0.881311237
14,0.1,0.5,8,500,20,0.881193852
1,0.2,0.5,4,350,10,0.880898336
13,0.15,0.5,4,400,15,0.880516652
10,0.1,0.5,6,400,10,0.880436493
2,0.1,0.5,6,350,10,0.880207414
1,0.15,0.5,4,350,10,0.880192473
5,0.2,0.5,4,350,20,0.880170095
2,0.1,0.5,8,350,10,0.880097127
7,0.15,0.5,6,350,15,0.879952045
8,0.1,0.5,4,500,10,0.879870639
15,0.15,0.5,6,400,15,0.879764192
12,0.1,0.5,4,500,20,0.879681866
5,0.15,0.5,4,350,15,0.879587378
3,0.15,0.5,6,350,10,0.879008579
10,0.1,0.5,8,500,10,0.878838038
11,0.15,0.5,6,400,10,0.878709653
12,0.1,0.5,4,400,15,0.877505222
8,0.1,0.5,4,400,10,0.876813567
3,0.2,0.5,8,350,10,0.876446092
4,0.1,0.5,4,350,15,0.875251644
7,0.2,0.5,8,350,20,0.875060878
0,0.1,0.5,4,350,10,0.874469008
0,0.1,0.5,4,350,10,0.874469008
11,0.2,0.5,8,500,10,0.87404513
4,0.1,0.5,4,350,20,0.873988215
15,0.2,0.5,8,500,20,0.872466128
1,0.2,0.5,4,50,1,0.859887825
9,0.2,0.5,4,250,1,0.859887825
17,0.2,0.5,4,500,1,0.859887825
25,0.2,1,4,50,1,0.859887825
33,0.2,1,4,250,1,0.859887825
41,0.2,1,4,500,1,0.859887825
1,0.2,0.5,4,0.1,1,0.859887825
5,0.2,0.5,4,0.2,1,0.859887825
5,0.2,0.5,4,50,10,0.849524879
13,0.2,0.5,4,250,10,0.849524879
21,0.2,0.5,4,500,10,0.849524879
29,0.2,1,4,50,10,0.849524879
37,0.2,1,4,250,10,0.849524879
45,0.2,1,4,500,10,0.849524879
3,0.2,0.5,4,0.1,5,0.844446356
7,0.2,0.5,4,0.2,5,0.844446356
6,0.05,0.5,12,50,10,0.844427754
14,0.05,0.5,12,250,10,0.844427754
22,0.05,0.5,12,500,10,0.844427754
30,0.05,1,12,50,10,0.844427754
38,0.05,1,12,250,10,0.844427754
46,0.05,1,12,500,10,0.844427754
2,0.05,0.5,12,50,1,0.841508225
10,0.05,0.5,12,250,1,0.841508225
18,0.05,0.5,12,500,1,0.841508225
26,0.05,1,12,50,1,0.841508225
34,0.05,1,12,250,1,0.841508225
42,0.05,1,12,500,1,0.841508225
3,0.2,0.5,12,50,1,0.840716292
11,0.2,0.5,12,250,1,0.840716292
19,0.2,0.5,12,500,1,0.840716292
27,0.2,1,12,50,1,0.840716292
35,0.2,1,12,250,1,0.840716292
43,0.2,1,12,500,1,0.840716292
7,0.2,0.5,12,50,10,0.836689255
15,0.2,0.5,12,250,10,0.836689255
23,0.2,0.5,12,500,10,0.836689255
31,0.2,1,12,50,10,0.836689255
39,0.2,1,12,250,10,0.836689255
47,0.2,1,12,500,10,0.836689255
0,0.05,0.5,4,50,1,0.801118855
8,0.05,0.5,4,250,1,0.801118855
16,0.05,0.5,4,500,1,0.801118855
24,0.05,1,4,50,1,0.801118855
32,0.05,1,4,250,1,0.801118855
40,0.05,1,4,500,1,0.801118855
0,0.05,0.5,4,0.1,1,0.801118855
4,0.05,0.5,4,0.2,1,0.801118855
2,0.05,0.5,4,0.1,5,0.800215217
6,0.05,0.5,4,0.2,5,0.800215217
4,0.05,0.5,4,50,10,0.797775874
12,0.05,0.5,4,250,10,0.797775874
20,0.05,0.5,4,500,10,0.797775874
28,0.05,1,4,50,10,0.797775874
36,0.05,1,4,250,10,0.797775874
44,0.05,1,4,500,10,0.797775874
